lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
Wodonga,453500.0,413000.0,7.9,113.0,8.0,34
Mitchell,435000.0,467500.0,4.7,59.0,-1.0,93
Yarra Ranges,642500.0,700000.0,5.7,74.0,-6.0,102
Maroondah,761500.0,848000.0,5.7,74.0,-8.0,12
Murrindindi,555000.0,630000.0,7.7,109.0,16.0,13
Brimbank,510000.0,537500.0,6.0,79.0,-7.0,45
Darebin,660000.0,700500.0,4.6,57.0,-10.0,15
Maribyrnong,1010000.0,875000.0,6.3,85.0,2.0,21
Knox,760000.0,829000.0,6.1,81.0,-7.0,41
Cardinia,550000.0,510000.0,7.0,96.0,8.0,32
Gannawarra,212500.0,215000.0,4.3,53.0,-21.0,14
Moyne,345000.0,341000.0,5.1,64.0,-1.0,25
South Gippsland,319000.0,378000.0,4.1,49.0,0.0,58
Melton,420500.0,440000.0,5.7,74.0,-3.0,95
Campaspe,263000.0,270000.0,3.0,35.0,1.0,79
Macedon Ranges,595000.0,620000.0,8.2,121.0,8.0,74
Swan Hill,239000.0,211500.0,4.8,60.0,9.0,11
Ballarat,552500.0,635000.0,4.7,58.0,-4.0,18
East Gippsland,357500.0,400000.0,4.3,52.0,19.0,17
Ballarat,836500.0,995000.0,7.6,107.0,8.0,29
East Gippsland,310000.0,320000.0,1.8,19.0,-5.0,96
Whittlesea,590500.0,627500.0,5.8,76.0,-6.0,118
Macedon Ranges,500000.0,510000.0,6.7,92.0,10.0,15
Cardinia,495000.0,530000.0,6.9,95.0,4.0,20
Frankston,617500.0,644000.0,6.4,86.0,-4.0,178
Greater Geelong,495000.0,552500.0,5.9,77.0,-4.0,53
Greater Geelong,540000.0,542000.0,5.9,78.0,2.0,108
Yarra Ranges,554000.0,520000.0,6.9,95.0,4.0,18
Hobsons Bay,529000.0,542500.0,5.5,71.0,-9.0,49
Hobsons Bay,622500.0,665000.0,5.8,75.0,-4.0,40
Ballarat,331000.0,307000.0,4.3,53.0,1.0,0
Wodonga,426000.0,455000.0,2.8,31.0,10.0,12
South Gippsland,367000.0,386000.0,3.8,45.0,2.0,71
Greater Geelong,510000.0,540000.0,5.1,65.0,2.0,177
Yarra Ranges,680000.0,708500.0,5.7,74.0,-4.0,114
